Author Name,University
Spyros Kokolakis,University of the Aegean
M. Karyda,Moholy-Nagy University of Art and Design
L. Gymnopoulos,University of the Aegean
Niwat Thepvilojanapong,Mie University
Sajid Hussain,Fisk University
Ryohei Suzuki,Institute of Industrial Science
Ying Zhang,Palo Alto Research Center Incorporated
Juan Villegas-Cortez,Metropolitan Autonomous University - Azcapotzalco
David J. Chatting,Newcastle University
Makoto P. Kato,Kyoto University
J. Rose,University of Toronto
Jayant R. Haritsa,Indian Institute of Science
Ullas Nambiar,Dell EMC
Teresa Maria Przytycka,National Library of Medicine (NLM)
Babak  Falsafi,EPFL
Gerry Stahl,Drexel University
A. Morch,University of Oslo
Rob Byrd,
Charles Cole,Institute for Research in Immunology and Cancer of the University of Montreal
Klaus Haller,AWK Group AG
A. Waller,University of Dundee
Ozalp Babaoglu,University of Bologna
Zhenyu (Peter) Gu,Northwestern University
Seonho  Kim,Korea Institute of Science and Technology Information
Jinjuan Heidi Feng,Towson University
Sergi Lanau,Artificial Intelligence Research Institute
Tetsuo Kamina,Oita University
H. Fathi,Ain Shams University
T. M. Nazmy,Ain Shams University
Yuka Kato,Advanced Institute of Industrial Technology
Bill Manaris,College of Charleston
Igor Konnov,Kazan Federal University
A. Zelikovsky,Georgia State University
Brian Fitzgerald,University of Limerick
Xin Tong,Microsoft Research Asia
Robert Scott Allison,York University
Motoki Miura,Kyushu Institute of Technology
Muztaba Fuad,Winston-Salem State University
Debzani Deb,Winston-Salem State University
Richard Ryan Williams,MIT Computer Science & Artificial Intelligence Laboratory
Kazuhiko  Kato,University of Tsukuba
M. Emre Celebi,Louisiana State University in Shreveport
Paul R. Calder,Flinders University
Takafumi Nakanishi,National Institute of Information and Communications Technology
Yen Hsi Richard Tsai,The University of Texas at Austin
Stefan Parry Carmien,TECNALIA
Errol Thompson,University of Birmingham
G. Stadler,New York University
J. K. Archibald,Brigham Young University
Jared M. Johnson,University of Central Florida
Lucian Milea,University Politehnica of Bucharest
Dave Gomboc,"University of California, Riverside"
Bu  Jiajun,Zhejiang University
Víctor J Sosa,Center for Research and Advanced Studies of the National Polytechnic Institute
Paul Jackway,Commonwealth Scientific and Industrial Research Organisation
Evgeny Dantsin,Roosevelt University
Paul Beame,University of Washington
Christos K. Georgiadis,University of Macedonia
Dan  Vance,University of Cincinnati
Gregory Piatetsky-Shapiro,Verizon Communications
Peter Leong,Singapore Polytechnic
Mark D Dunlop,University of Strathclyde
Yasoto Nakanishi,Keio University
Patrick Teo,Stanford University
Jeff Coklin,George Mason University
C. A. S. Santos,Federal University of Espírito Santo
Almerindo N. Rehem Neto,Federal University of Bahia
Maya Markova,University of Rousse
Mónica Aguilar Igartua,Polytechnic University of Catalonia
Lauro Beltrão Costa,The University of British Columbia
Richard Cole,Courant Institute of Mathematical Sciences
Alex Po Leung,Queen Mary University of London
Hirotaka Ono,Nagoya University
Frank Maurer,University of Calgary
Kavita Ganesan,University of Illinois Urbana-Champaign
Jean-Claude Dufourd,Paris-Saclay University
Ph. Truillet,University of Toulouse
Lu Zhang,Peking University
Michael Lyons,Ritsumeikan University
Omar El-khatib,New Mexico State University
S. Pfeiffer,Commonwealth Scientific and Industrial Research Organisation
Aleksander Kowalski,Maria Curie-Sklodowska University in Lublin
Borko Furht,Florida Atlantic University
Yeonhoon Kim,Korea Advanced Institute of Science and Technology
Amr  El Abbadi,"University of California, Santa Barbara"
Divyakant AGRAWAL,"University of California, Santa Barbara"
Yuechen  Chi,"NEC Laboratories America, Inc."
Sang-Won Lee,Sungkyunkwan University
M. B. Ammar,Higher Institute of Computer Science
Michel Plantié,IMT Mines Alès
Shinpei Kato,Carnegie Mellon University
S. Issac Niwas,
Arthur H Mter Hofstede,Queensland University of Technology
Luiz Augusto Pizzato,Commonwealth Bank of Australia
Florina M. Ciorba,University of Basel
Gianguglielmo  Calvi,"Istituto Di Scienze E Tecnologie Della Cognizione, Rome"
"Michael J. North, MBA, Ph.D.",Argonne National Laboratory
Alvaro Arenas,IE Business School
E Michael Maximilien,IBM Research - Almaden
Juan C. García-Ojeda,Kansas State University
Tom Crick,Swansea University
A. Agostini,University of Milano-Bicocca
Ignacio  Aedo,Carlos III University of Madrid
M. T. Abuelma'atti,King Fahd University of Petroleum and Minerals
Liangjie (lj) Zhang,IBM Thomas J. Watson Research Center
Syed Shomaail Jafri,King Fahd University of Petroleum and Minerals
G. S. Owen,Georgia State University
Tao Ni,Virginia Polytechnic Institute and State University
Frédéric Andrès,Research Organization of Information and Systems National Institute of Informatics
Anand Padmanabhan,University of Illinois Urbana-Champaign
Serban D Porumbescu,"University of California, Davis"
Salvatore Stolfo,Columbia University
Jörn Loviscach,University of Applied Sciences Bielefeld
Emanuel  Kieroński,University of Wrocław
José Antonio Martín H.,Complutense University of Madrid
R. J. Abbott,"California State University, Los Angeles"
C. B. Congdon,University of Southern Maine
Gary C. Lewandowski,Xavier University
Travis Kriplean,University of Washington
Patrice Godefroid,Microsoft Research
David Nowak,"Research Center in Computer Science, Signal and Automatic Control of Lille"
Abelardo Pardo,University of South Australia
Martin Kaltenbrunner,University of Arts and Industrial Design Linz
Giner Alor Hernandez,"Instituto Tecnologico de Orizaba, Mexico"
Luís Ferreira,University of Porto
Hizir Sofyan,Syiah Kuala University
Cormac Flanagan,"University of California, Santa Cruz"
R. Jain,Washington University in St. Louis
Keith Daniel Cooper,Rice University
Daniel Reed,University of Iowa
Sarah Bassett Lee,The University of Southern Mississippi
F. Berman,Rensselaer Polytechnic Institute
P. Seeling,Central Michigan University
Philip Shilane,Princeton University
Tony R Sahama,CQUniversity Australia
Farzad Habibipour Roudsari,Islamic Azad University
Giovanni Vincenti,University of Baltimore
S. L. Scott,Tennessee Technological University
François Bry,Ludwig-Maximilians-University Munich
Alexander Pasko,Bournemouth University
Vincenzo Pallotta,Webster University
Pedro Cano,Pompeu Fabra University Barcelona
J Hershberger,Siemens EDA
Elena Zattoni,University of Bologna
Akira Yamada,"KDDI Research, Inc."
J. Adcock,FX Palo Alto Laboratory
Jennifer A. Rode,University College London
Deborah A. Dahl,Unisys Corporation
Brian L. Stuart,FedEx
Betsy Williams,Rhodes College
Juan-Miguel León-Rojas,University of Extremadura
A. F. Zorzo,Pontifical Catholic University of Rio Grande do Sul
S. Vadivel,"Government College of Technology, Coimbatore"
Heikki Topi,Bentley University
Masahiko Sakai,Nagoya University
Dimitris  Spiliotopoulos,University of the Peloponnese
A. A. Lomov,Sobolev Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences
Isidro Robledo Vega,IEEE
Iouliia Skliarova,University of Aveiro
Chris Partridge,University of Westminster
Jason Ernst,University of Guelph
A. Roesler,University of Washington
Elias  Balafoutis,National and Kapodistrian University of Athens
Milad Alemzadeh,Sharif University of Technology
Stephen B. Hughes,University of Northern Iowa
Andriyan Bayu Suksmono,Bandung Institute of Technology
Zebo Peng,Linköping University
Alan Clark,Ford Motor Company
Nelson Troca Zagalo,University of Aveiro
karen renaud,University of Strathclyde
Burkhard  Lenze,Dortmund University of Applied Sciences
Luca Vacchetti,Écoles polytechniques fédérales
A E Blandford,University College London
Laura Castro,University of A Coruña
Thai Bui,Asian Institute of Technology Thailand
Edward Waguih Ishak,Columbia University
Steven K. Feiner,Columbia University
Andy Hon Wai Chun,City University of Hong Kong
Alexander  Repenning,University of Colorado Boulder
Steven Pemberton,Center for Mathematics and Computer Science - Amsterdam
Wei Jie,University of West London
Prasan Roy,IBM India Pvt Ltd
A. Kale,University of Kentucky
Jiro  Katto,Waseda University
Akira Ishii,"Yachiyo Engineering Co., Ltd."
G. Marchionini,The University of North Carolina at Chapel Hill
S. Wiedenbeck,Drexel University
Martin Oliver,UCL Knowledge Lab
Brian Neil Levine,University of Massachusetts Amherst
Michael Weinberg,Hebrew University of Jerusalem
Stephen A Cook,University of Toronto
Simon S Lam,The University of Texas at Austin
Enrico Nardelli,Tor Vergata University of Rome
Xidong Zheng,The University of Alabama at Birmingham
Chih-Yi Chiu,National Tsing Hua University
Edwin H. Blake,University of Cape Town
David M Byer,The University of the West Indies
N. Danner,Wesleyan University Middletown
K. Papagiannaki,Google LLC
A. M. Ben-Amram,Academic College of Tel-Aviv - Yaffo
George S. Avrunin,"Center for Medical Simulation, Cambridge"
Eric A. Brewer,"University of California, Berkeley"
A. K. Somani,Iowa State University
Claudio Rocchini,Italian National Research Council
Dorothy E. Denning,Naval Postgraduate School
M. Manago,Paris-Saclay University
Philip N. Klein,Brown University
Annika Waern,Uppsala University
philippe Palanque,Computer Science Research Institute of Toulouse
Andy Tinkham,Florida Institute of Technology
Alexandros Xafopoulos,Artificial Intelligence & Information Analysis Laboratory
Andy Zaidman,Delft University of Technology
Serge Demeyer,University of Antwerp
Päivi  Majaranta,Tampere University
Matt Feusner,"University of California, San Francisco"
Norman Makoto Su,"University of California, Santa Cruz"
Varol Akman,Bilkent University
Cristian Acevedo,Pontifical Catholic University of Chile
N. Garg,Indian Institute of Technology Delhi
Michael Glaß,Valparaiso University
Luigina Ciolfi,University College Cork
Wolfgang Merkle,Heidelberg University
Manfred Schmidt-Schauß,Goethe University Frankfurt
Shing TenqChen,National Taiwan University
Galina I. Pasko,British Institute of Technology & E-commerce
Earl J. Wagner,MIT Media Lab
Richard M. Wilkie,University of Leeds
Karl R. Wurst,Worcester State University
Chia Shen,National Science Foundation
Edward Angel,The University of New Mexico
Don Blaheta,Longwood University
Nicholas Paul Sheppard,Queensland University of Technology
Kenneth Moreland,Oak Ridge National Laboratory
Markus Stolze,Eastern Switzerland University of Applied Sciences
Paul B. Albee,Central Michigan University
Katherine Isbister,"University of California, Santa Cruz"
Zachary A. Kissel,
Aldo  de Moor,Vrije Universiteit Brussel
T. Fossum,National Science Foundation
K Kuchcinski,Lund University
Ronald Fagin,IBM Research
Michael W. Vannier,The University of Chicago
Nicolas Roussel,INRIA Institut National de Recherche en Informatique et en Automatique
Michel Beaudouin-Lafon,Paris-Saclay University
Patricia Kayser Vargas,La Salle University
Tom Lanning,Mitsubishi Electric Research Laboratories
Chunyuan Liao,FX Palo Alto Laboratory
Zizhong Chen,Colorado School of Mines
Eric Lengyel,
I. B. Carlbom,Nokia Bell Labs
Wanda Marie Pratt,University of Washington
Danyel Fisher,Microsoft Research
Toshio Nakatani,IBM Research - Tokyo
Sonia  Bergamaschi,University of Modena and Reggio Emilia
E. Clementini,University of L'Aquila
Valeria De Antonellis,University of Brescia
Willy Picard,Poznań University of Economics and Business
M. Melchiori,University of Brescia
Javier Lopez,University of Malaga
Judy Sheard,Monash University
Ali Niknafs,David R. Cheriton School of Computer Science
Bruno Blanchet,INRIA Institut National de Recherche en Informatique et en Automatique
Aleksandar  Nanevski,IMDEA Software Institute
Rattapoom Tuchinda,Thailand National Electronics and Computer Technology Center
Gio Wiederhold,Stanford University
Nadir Kabache,University of Boumerdes
Loreto Bravo,University of Desarrollo
Karsten Weicker,Leipzig University of Applied Sciences
Jari Kangas,Tampere University
Simon  Fenney,Imagination Technologies Limited
Akshat Verma,IBM Research
Sanjoy Baruah,Washington University in St. Louis
I. B. Lian,National Changhua University of Education
George Candea,EPFL
Mike Y. Chen,National Taiwan University
Viktor  Kunčak,EPFL
Tzvetomir Ivanov Vassilev,University of Rousse
P. Takis Metaxas,Wellesley College
Serdar Tasiran,"Amazon.com, Inc."
Michael Coblenz,"University of California, San Diego"
Amy Eguchi,"University of California, San Diego"
Derrel Blain,University of Memphis
Stefan Guthe,Technical University of Braunschweig
Olivier Devillers,University of Lorraine
Frederick T. Sheldon,University of Idaho
Max Manfrin,Université Libre de Bruxelles
Dario D. Salvucci,Drexel University
Frank J Lee,Drexel University
Paolo Trunfio,University of Calabria
Ke Xu,Chinese University of Hong Kong
Francisco Maciá Pérez,University of Alicante
Kevin R Gee,The University of Texas at Arlington
Ziv Nevo,IBM Research - Haifa
M. Chalmers,University of Glasgow
A. A. Karawia,Faculty of Science
Koen  de Bosschere,Ghent University
Jeroen J van der Ham,University of Twente
Vikram  Jamwal,Indian Institute of Technology Bombay
Caroline Haythornthwaite,Syracuse University
J. Paredaens,University of Antwerp
Manolis (Kellis) Kamvysselis,MIT Computer Science & Artificial Intelligence Laboratory
Narendran P.,State University of New York System
Sidney C. Bailin,
Tasos Spiliotopoulos,The University of Madeira
Reid Holmes,The University of British Columbia
Gail C. Murphy,The University of British Columbia
Juan Manuel Dodero,University of Cadiz
Keith Andrews,Graz University of Technology
Samuel Sangkon Lee,Jeonju University
Nuno M Guimaräes,ISCTE - University Institute of Lisbon
Vinícius Garcia,Federal University of Pernambuco
C. Trefftz,Grand Valley State University
Takashi  Fukuda,IBM Research - Tokyo
Alvaro Monge,"California State University, Long Beach"
Ian Scott MacKenzie,York University
